near_schools,es,ms,hs,public_school,charter_school,anc_id,nbh_cluster,nbh_cluster_names,smd_id,ward_name,census_tract,comp_plan_area,objectid,station,stationnumber,y2015,y2016,y2017,y2018,avg_2015_2018,latitude,longitude,geography
[None],,,,,,,,,,,,,41,Grosvenor-Strathmore,14.0,5557.0,5227.0,5252.0,4995.0,5257.7500000000000000,39.02927675961189,-77.10385204462033,0101000020E610000017D10B83A54653C070884257BF834340
[None],,,,,,,,,,,,,42,Huntington,50.0,7922.0,7217.0,6686.0,6896.0,7180.2500000000000000,38.79392361656221,-77.07520808910348,0101000020E610000006C69635D04453C01054004A9F654340
[None],,,,,,,,,,,,,44,King St-Old Town ,48.0,8908.0,7906.0,6815.0,7131.0,7690.0000000000000000,38.80659388297547,-77.06081350504279,0101000020E610000017D4535EE44353C04344E6773E674340
[None],,,,,,,,,,,,,45,Landover,67.0,1938.0,1587.0,744.0,1543.0,1453.0000000000000000,38.93351403213752,-76.89120021968559,0101000020E6100000356FA56C093953C0A23147637D774340
[None],,,,,,,,,,,,,46,Largo Town Center,109.0,4754.0,4276.0,4668.0,4181.0,4469.7500000000000000,38.90060751296352,-76.84455386901843,0101000020E61000003EC9AB2B0D3653C0E85A631B47734340
[None],,,,,,,,,,,,,48,McLean,111.0,1669.0,1589.0,1644.0,1830.0,1683.0000000000000000,38.92452954969211,-77.21008129397356,0101000020E61000008AC7CFF8714D53C07E0EFAFB56764340
[None],,,,,,,,,,,,,5,Ballston-MU ,99.0,11520.0,10176.0,9467.0,9029.0,10048.0000000000000000,38.88219065371316,-77.11317115238576,0101000020E61000003D9637323E4753C07744939FEB704340
[None],,,,,,,,,,,,,50,Medical Center,13.0,5663.0,5511.0,5332.0,5181.0,5421.7500000000000000,39.00006428871676,-77.09695460997058,0101000020E610000049C11B81344653C0CEF74A1B02804340
[None],,,,,,,,,,,,,53,Morgan Boulevard,110.0,2112.0,1813.0,2951.0,1826.0,2175.5000000000000000,38.89384271918598,-76.86807700953254,0101000020E61000008396DF928E3753C0F4552F7069724340
[None],,,,,,,,,,,,,55,Navy Yard-Ballpark,87.0,10569.0,10574.0,9732.0,11013.0,10472.0000000000000000,38.851309163015976,-76.9562649764217,0101000020E6100000A7020472333D53C029F8DAB2F76C4340
[None],,,,,,,,,,,,,56,Naylor Road,68.0,2828.0,2453.0,2351.0,2283.0,2478.7500000000000000,38.94779265746772,-76.87184353349953,0101000020E610000003E7D148CC3753C03D9B114551794340
[None],,,,,,,,,,,,,58,NoMa-Gallaudet U,43.0,9226.0,8694.0,8661.0,9346.0,8981.7500000000000000,38.86947048055992,-77.05371797119012,0101000020E6100000055E801D704353C0CF6B07CF4A6F4340
[None],,,,,,,,,,,,,59,Pentagon,44.0,15145.0,14071.0,13145.0,13667.0,14007.000000000000,38.861890164149045,-77.05954122084415,0101000020E61000008812FB85CF4353C0D2E1B96A526E4340
[None],,,,,,,,,,,,,61,Potomac Ave,78.0,3783.0,3304.0,3319.0,3494.0,3475.0000000000000000,38.96539324765316,-76.9558837818853,0101000020E6100000597E2B332D3D53C08B398501927B4340
[None],,,,,,,,,,,,,63,Rhode Island Ave-Brentwood ,17.0,6001.0,5667.0,5453.0,5417.0,5634.5000000000000000,39.084329427003304,-77.14612767959905,0101000020E6100000C53AE9275A4953C0E988814ECB8A4340
[None],,,,,,,,,,,,,64,Rockville,93.0,4424.0,4147.0,3981.0,3756.0,4077.0000000000000000,38.85342416190082,-77.04404458826426,0101000020E61000004A8A64A0D14253C0787DC0003D6D4340
[None],,,,,,,,,,,,,66,Rosslyn,41.0,14815.0,13295.0,12511.0,13020.0,13410.250000000000,38.895986880612526,-77.07091099048847,0101000020E6100000CC4440CE894453C01CF0B6B2AF724340
[None],,,,,,,,,,,,,67,Shady Grove,18.0,12609.0,11870.0,11517.0,11139.0,11783.7500000000000000,39.11993515029003,-77.16462968253889,0101000020E6100000259DEF4A894A53C07A11F6085A8F4340
[None],,,,,,,,,,,,,69,Silver Spring,31.0,13008.0,12403.0,12004.0,11682.0,12274.2500000000000000,38.99395717955676,-77.03102012497027,0101000020E6100000F890D53BFC4153C00CE925FD397F4340
[None],,,,,,,,,,,,,7,Bethesda,12.0,10708.0,9459.0,9212.0,8999.0,9594.5000000000000000,38.9844014612428,-77.09413151082917,0101000020E610000033222C40064653C01216F9DD007E4340
[None],,,,,,,,,,,,,71,Southern Avenue,107.0,4789.0,4726.0,4575.0,4744.0,4708.5000000000000000,38.84109355670434,-76.97505641102109,0101000020E6100000CE450153673E53C0F27523F4A86B4340
[None],,,,,,,,,,,,,72,Spring Hill,114.0,1406.0,1243.0,1164.0,1203.0,1254.0000000000000000,38.92895962711715,-77.24156035292195,0101000020E6100000D7F38DB9754F53C0E2E22826E8764340
