,object_id,install_year,count,ward,location,lat,lng
145,146,FY-09,5,7,1600 - 1700 38th street SE,38.87003801805274,-76.95137349024098
146,147,FY-09,5,8,3200 block Pope Street SE,38.87331177968013,-76.95911718015094
147,148,FY-09,5,8,Brandywine Street SE,38.830089505150696,-77.00057317242253
148,149,FY-09,6,5,1100 Blk Galloway St NE btw S. Dakota & Sargeant Rd,38.95324580660232,-76.98839798989601
149,150,FY-09,6,7,3300-3700- Carpenter st SE,38.87056130319765,-76.95635644580759
150,151,FY-09,7,8,1600-4200 Blks Fort Dupont St SE,38.86871126700705,-76.94395325977011
151,152,FY-09,10,7,4000-4300 Anacostia Ave,38.90673036789556,-76.94309961956185
152,153,FY-07,2,1,Newton st Nw 1400 blk                                   (2)  12Ft,38.9318761168123,-77.03273704436133
153,154,FY-07,2,1,3600 Blk 11th ST NW,38.93527413124983,-77.02849622027448
154,155,FY-07,1,1,3500 Blk 10th ST NW,38.93372777049379,-77.02735052567796
155,156,FY-07,1,1,600 Blk Quebec PL NW,38.93647004274988,-77.02025210089946
156,157,FY-07,1,1,700 Blk Faimont ST NW,38.92503315881789,-77.02416250200633
157,158,FY-07,2,2,Wallach Pl NW 1300 blk                    (2) 12Ft,38.92503315881789,-77.02416250200633
158,159,FY-07,2,3,"Upton St & 38th st NW ( 2 cross walks , (2) 12Ft)",38.942223461804836,-77.07460724637714
159,160,FY-07,3,3,46th bet Fessenden st NW  (3) 12 ft,38.954709974533095,-77.09060985753872
160,161,FY-07,2,4,Aspen st NW 700 & 800 blk             (2)  12Ft,38.97217903809005,-77.0242417887751
161,162,FY-07,2,4,Farragut Pl NW unit blk    (2) 12Ft,38.95236930099281,-77.01066020369781
162,163,FY-07,2,4,900 Blk Hamilton ST NW   (2),38.95293599081032,-77.02660129715285
163,164,FY-07,1,4,4000 Blk 8th ST Bet Taylor ST & Randolph ST,38.938727592889514,-77.02319196641908
164,165,FY-07,2,5,7th st NE bet Taylor & Randulph st         (2)  12Ft,38.940015815127744,-76.99558268943613
165,166,FY-07,2,5,2400 Blk 14th ST Bet Downing & Saratoga AV NE (2),38.92185768913799,-76.98524621351373
166,167,FY-07,2,5,Lincoln Rd & T ST NE (2),38.91408565070135,-77.00810982046498
167,168,FY-07,3,6,Oklahoma ave Ne 500 blk                   (3) 12Ft,38.89626113603092,-76.97110238170283
168,169,FY-07,1,6,1500 Blk Gayles ST NE  (1)   22ft,38.89846133720014,-76.98302254036336
169,170,FY-07,3,7,32nd st SE bet. Alabama & Park Dr SE       (3) 12Ft,38.86563991922173,-76.96148127140353
170,171,FY-07,2,7,34th st SE 2300 Blk         (2) 12Ft,38.861531871235535,-76.95725526622125
171,172,FY-07,1,7,Bangor st SE 3400 blk           (1) 22Ft,38.860647635698,-76.95734048127291
172,173,FY-07,2,7,E st SE bet. Benning rd & Falls Ter   (2)  22Ft,38.88338101778608,-76.93643148261384
173,174,FY-07,4,7,48th pl NE 500 blk   (4)  12Ft,38.895440253258414,-76.93429369016707
174,175,FY-07,2,7,Jay st NE 4900 blk                                    (2)  12Ft,38.90168818608639,-76.93147314373765
